Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2023;Hardinxveld-Giessendam;240
0 jaar;2022;Haren;
0 jaar;2023;Haren;
0 jaar;2022;Harenkarspel;
0 jaar;2023;Harenkarspel;
0 jaar;2022;Harlingen;151
0 jaar;2023;Harlingen;110
0 jaar;2022;Harmelen;
0 jaar;2023;Harmelen;
0 jaar;2022;Hasselt;
0 jaar;2023;Hasselt;
0 jaar;2022;Hattem;123
0 jaar;2023;Hattem;117
0 jaar;2022;Havelte;
0 jaar;2023;Havelte;
0 jaar;2022;Hazerswoude;
0 jaar;2023;Hazerswoude;
0 jaar;2022;Hedel;
0 jaar;2023;Hedel;
0 jaar;2022;Heel;
0 jaar;2023;Heel;
0 jaar;2022;Heel en Panheel;
0 jaar;2023;Heel en Panheel;
0 jaar;2022;Heemskerk;383
0 jaar;2023;Heemskerk;378
0 jaar;2022;Heemstede;233
0 jaar;2023;Heemstede;197
0 jaar;2022;Heerde;170
0 jaar;2023;Heerde;158
0 jaar;2022;Heerenveen;460
0 jaar;2023;Heerenveen;456
0 jaar;2022;Heerewaarden;
0 jaar;2023;Heerewaarden;
0 jaar;2022;Heerhugowaard;
0 jaar;2023;Heerhugowaard;
0 jaar;2022;Heerjansdam;
0 jaar;2023;Heerjansdam;
0 jaar;2022;Heerlen;700
0 jaar;2023;Heerlen;698
0 jaar;2022;Heesch;
0 jaar;2023;Heesch;
0 jaar;2022;Heeswijk-Dinther;
0 jaar;2023;Heeswijk-Dinther;
0 jaar;2022;Heeze;
0 jaar;2023;Heeze;
0 jaar;2022;Heeze-Leende;151
0 jaar;2023;Heeze-Leende;143
0 jaar;2022;Hefshuizen;
0 jaar;2023;Hefshuizen;
0 jaar;2022;Heiloo;193
0 jaar;2023;Heiloo;178
0 jaar;2022;Heino;
0 jaar;2023;Heino;
0 jaar;2022;Helden;
0 jaar;2023;Helden;
0 jaar;2022;Den Helder;511
0 jaar;2023;Den Helder;493
0 jaar;2022;Hellendoorn;356
0 jaar;2023;Hellendoorn;321
0 jaar;2022;Hellevoetsluis;353
0 jaar;2023;Hellevoetsluis;
0 jaar;2022;Helmond;977
0 jaar;2023;Helmond;914
0 jaar;2022;Helvoirt;
0 jaar;2023;Helvoirt;
0 jaar;2022;Hendrik-Ido-Ambacht;390
0 jaar;2023;Hendrik-Ido-Ambacht;408
0 jaar;2022;Hengelo (Gld.);
0 jaar;2023;Hengelo (Gld.);
0 jaar;2022;Hengelo (O.);702
0 jaar;2023;Hengelo (O.);722
0 jaar;2022;Herten;
0 jaar;2023;Herten;
0 jaar;2022;'s-Hertogenbosch;1683
0 jaar;2023;'s-Hertogenbosch;1554
0 jaar;2022;Heteren;
0 jaar;2023;Heteren;
0 jaar;2022;Heumen;149
0 jaar;2023;Heumen;149
0 jaar;2022;Heusden;455
0 jaar;2023;Heusden;417
0 jaar;2022;Heythuysen;
0 jaar;2023;Heythuysen;
0 jaar;2022;Hillegom;237
0 jaar;2023;Hillegom;208
0 jaar;2022;Hilvarenbeek;134
0 jaar;2023;Hilvarenbeek;148
